项目,内容
辅助分支,速度强化I（移速+3%×5）→ 速度强化II（移速+3%×5）→ 冷却缩减（冷却-3%×5）→ 拾取范围（拾取+10%×5）→ 效果延长（持续+5%×5）→ 范围扩大（范围+5%×5）→ 技能槽位III → 速度精通（移速+1%∞）
财富分支,经验强化（经验+10%×5）→ 财富强化（金币+15%×5）→ 幸运强化（掉落+5%×5）→ 金币磁铁（金币拾取+15%×5）→ 宝箱猎人（宝箱+10%×5）→ 复活机会（复活+1×3）→ 技能槽位IV → 财富精通（金币+5%∞）
天赋说明,每条分支8个节点，前置节点满级后解锁下一节点；技能槽位节点解锁预装技能槽；精通节点可无限升级
傀儡系统,被动技能"傀儡娃娃"可让副武器由傀儡自动释放
,,
【武器词条系统】,
元素类词条,火焰亲和（火焰技能概率免费施法）、冰霜亲和（命中减速）、雷电亲和（概率连锁）
能量类词条,能量涌动（回复速度+）、杀戮回能（击杀回能量）、暴击回能、节能施法（消耗-）、能量上限+、满能强化、连击免费、回响（概率重复施放）
攻击类词条,疾速（攻击间隔-）、强力（伤害+）、背水一战（低能量高伤害）、虚空穿透、多重射击、暴击强化、暴击率+、处决（低血量敌人伤害+）、破甲、范围扩大、弹道加速
状态类词条,燃烧（附加持续伤害）、冰冻（概率定身）、感电（传导周围敌人）、毒素（叠加伤害）、虚弱（敌人受伤+）
防御类词条,护盾充能（击杀获得护盾）、荆棘反伤、闪避本能（致命伤害概率闪避）、生命涌动（每秒回血）、生命汲取（击杀回血）
特殊类词条,过载（能量耗尽消耗生命施法）、混沌之力（随机增强属性）、幸运（金币+）、经验加成、吸铁石（拾取范围+）、连锁闪电（击杀触发）、爆炸（击杀触发）、灵魂收割（技能掉落+）
条件类词条,嗜血（低血量攻速+）、冷静（高血量伤害+）、连杀（连续击杀伤害+）、首击（满血敌人伤害+）
,,
【主动技能系统】,
火花弹,✨ 伤害6 能量1 - 快速的小型魔法弹
魔法箭,➤ 伤害10 能量1 - 精准高速的箭矢
火球术,🔥 伤害18 能量2 - 燃烧的火球，带尾迹
回旋镖,🪃 伤害15×2 能量2 - 飞出后返回，去回双伤
飞剑,🗡️ 伤害15 能量2 - 挥舞飞剑攻击前方，可抵挡弹道
魔导弹,🚀 伤害20 能量3 - 追踪敌人的导弹
能量球,💠 伤害25 能量3 - 缓慢但强力，穿透5个敌人
黑洞,🕳️ 伤害8/tick 能量8 - 吸附并持续伤害敌人
,,
【被动技能系统】,
穿透,📍 穿透多个敌人（1星+3/2星+6/3星+10）
散射,🔱 同时发射3个投射物
追踪,🎯 投射物追踪敌人
弹射,🔀 弹射到范围内随机敌人（1星+2次/2星+4次/3星+6次）
反弹,↩️ 反弹3次，每次伤害-20%
环绕,🔄 法术环绕角色攻击
伤害增幅,💪 伤害+50%
加速,💨 投射物速度+50%
冷却缩减,⏱️ 冷却时间-30%
膨胀,🎈 技能体积+25%
节能,🔋 减少能量消耗（1星-15%/2星-25%/3星-35%）
拓展,📦 增加4个技能槽（特殊槽+2），伤害-50%/-40%/-30%
灼烧,🔶 附带灼烧效果，持续伤害
中毒,☠️ 附带中毒效果，叠加伤害
闪电链,⚡ 命中后连锁攻击附近敌人
落雷,⚡ 击中敌人时落下金色闪电
光之柱,🌟 召唤光柱1秒，冷却+20%
爆炸,💥 击杀敌人时产生爆炸
分裂,✴️ 命中敌人后分裂3个小弹（30%伤害）
牵引,🌀 击中敌人时拉扯周围敌人
悬停,⏸️ 命中后停留0.5秒，伤害-30%
狂暴,😈 持续攻击同一敌人时冷却递减
棱镜核心,💎 持续命中伤害递增
傀儡娃娃,🎎 使该法杖可由傀儡自动释放，伤害/能量回复-50%
,,
【程序功能说明】,
角色系统,2个可选角色：瓜瓜（布偶猫，移速+15%）、葵葵（英短，生命+20）
祝福系统,13种祝福（伤害提升、攻击速度、暴击、生命强化、生命再生、吸血、疾风、磁铁、贪婪、幸运、献祭、奥术屏障、能量虹吸）
敌人系统,6种普通怪物 + 4种Boss，各有独特AI和攻击模式
武器系统,12种武器模板，4种稀有度（普通/优秀/稀有/史诗），固定词条+随机词条
背包系统,技能背包管理、武器背包管理、技能合成工作台、拖拽装备
,,
【源代码亮点】,
技能链解析,遍历槽位序列，被动技能累积修改参数，遇到主动技能时应用累积效果并发射
词条效果系统,每个词条定义apply函数，武器初始化时自动应用所有词条效果
事件驱动架构,使用自定义Events系统解耦各模块（敌人死亡、玩家升级、技能施放等）
界面管理系统,Screen.Manager统一管理所有界面，支持界面栈、浮动窗口
武器生成器,WeaponGenerator根据模板和稀有度随机生成武器词条
音频系统,程序化生成音效，无需外部音频文件
,,
【AI工具使用情况】,
工具名称,Kiro (Amazon出品的AI编程助手IDE)
使用场景-代码生成,根据需求描述生成完整的功能模块代码（如武器词条系统、Boss技能、天赋树等）
使用场景-Bug修复,分析问题原因并提供修复方案（如预装技能无法带入游戏、移动端操作粘滞等）
使用场景-代码重构,优化代码结构，提升可维护性（如技能系统模块化、界面系统重构等）
使用场景-功能设计,讨论游戏机制设计，生成实现方案（如傀儡系统、特殊槽触发机制等）
使用场景-美术资源,所有美术均由AI通过代码使用Canvas API绑制（角色、敌人、Boss、技能特效、UI等全部由代码图形拼装，无外部图片资源）
辅助效果,大幅提升开发效率，从需求到实现的周期缩短80%以上，代码质量稳定，快速迭代
,,
【包体信息】,
包体大小,约5MB（纯代码+程序化音效，无大型图片/音频资源）
文件结构,Source/目录包含所有源代码，js/按功能模块划分
